Allen_ID;R;G;B;name;nutil_id;D1R_classifier;D2R_classifier
55;255;93;80;Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part;50;general;general
56;128;205;248;Nucleus accumbens;51;heavily;heavily
57;170;170;170;paramedian sulcus;52;fibrous;fibrous
58;255;144;255;Medial terminal nucleus of the accessory optic tract;53;general;general
59;255;144;159;Intermediodorsal nucleus of the thalamus;54;general;general
60;50;184;37;Entorhinal area, lateral part, layer 6b;55;general;general
61;255;165;210;Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone;56;general;general
62;204;204;204;medial longitudinal fascicle;57;fibrous;fibrous
63;255;93;80;Paraventricular hypothalamic nucleus, descending division;58;general;general
64;255;144;159;Anterodorsal nucleus;59;general;general
65;170;170;170;parafloccular sulcus;60;fibrous;fibrous
66;255;144;255;Lateral terminal nucleus of the accessory optic tract;61;general;general
67;255;144;255;Interstitial nucleus of Cajal;62;general;general
68;38;143;69;Frontal pole, layer 1;63;general;general
69;255;165;210;Spinal nucleus of the trigeminal, oral part, ventrolateral part;64;general;general
70;204;204;204;midbrain related;65;fibrous;fibrous
71;255;93;80;Paraventricular hypothalamic nucleus, magnocellular division;66;general;general
72;255;85;71;Anterodorsal preoptic nucleus;67;general;general
73;170;170;170;ventricular systems;68;fibrous;fibrous
74;8;133;140;Lateral visual area, layer 6a;69;general;general
75;255;144;255;Dorsal terminal nucleus of the accessory optic tract;70;general;general
76;255;179;217;Interstitial nucleus of the vestibular nerve;71;general;general
77;255;165;210;Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part;72;general;general
78;204;204;204;middle cerebellar peduncle;73;fibrous;fibrous
79;255;93;80;Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part;74;general;general
80;255;85;71;Anterior hypothalamic area;75;general;general
81;170;170;170;lateral ventricle;76;fibrous;fibrous
82;255;174;111;Nucleus of the lateral lemniscus, dorsal part;77;general;general
83;255;179;217;Inferior olivary complex;78;general;general
84;47;168;80;Prelimbic area, layer 6a;79;general;general
85;204;204;204;spinocerebellar tract;80;fibrous;fibrous
86;204;204;204;middle thalamic commissure;81;fibrous;fibrous
87;255;93;80;Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone;82;general;general
88;255;76;62;Anterior hypothalamic nucleus;83;general;general
89;170;170;170;rhinocele;84;fibrous;fibrous
90;255;174;111;Nucleus of the lateral lemniscus, horizontal part;85;general;general
91;255;253;188;Interposed nucleus;86;general;general
92;50;184;37;Entorhinal area, lateral part, layer 4;87;general;general
93;204;204;204;motor root of the trigeminal nerve;88;fibrous;fibrous
94;255;93;80;Paraventricular hypothalamic nucleus, parvicellular division;89;general;general
95;222;184;135;Agranular insular area;90;general;general
96;255;165;210;Dorsal cochlear nucleus;91;general;general
97;21;176;179;Temporal association areas, layer 1;92;general;general
98;170;170;170;subependymal zone;93;fibrous;fibrous
99;255;174;111;Nucleus of the lateral lemniscus, ventral part;94;general;general
100;255;166;255;Interpeduncular nucleus;95;general;general
101;255;165;210;Ventral cochlear nucleus;96;general;general
102;204;204;204;nigrostriatal tract;97;fibrous;fibrous
103;255;93;80;Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part;98;general;general
104;33;152;102;Agranular insular area, dorsal part;99;general;general
105;255;174;111;Superior olivary complex, medial part;100;general;general
106;255;179;217;Inferior salivatory nucleus;101;general;general
107;31;157;90;Somatomotor areas, Layer 1;102;general;general
108;170;170;170;choroid plexus;103;fibrous;fibrous
109;204;204;204;nigrothalamic fibers;104;fibrous;fibrous
110;255;93;80;Paraventricular hypothalamic nucleus, parvicellular division, periventricular part;105;general;general
111;33;152;102;Agranular insular area, posterior part;106;general;general
112;255;165;210;Granular lamina of the cochlear nuclei;107;general;general
113;24;128;100;Primary somatosensory area, lower limb, layer 2/3;108;general;general
114;255;174;111;Superior olivary complex, lateral part;109;general;general
115;255;144;255;Trochlear nucleus;110;general;general
116;170;170;170;choroid fissure;111;fibrous;fibrous
117;204;204;204;optic chiasm;112;fibrous;fibrous
118;255;93;80;Periventricular hypothalamic nucleus, intermediate part;113;general;general
119;33;152;102;Agranular insular area, ventral part;114;general;general
120;33;152;102;Agranular insular area, posterior part, layer 1;115;general;general
121;8;133;140;Lateral visual area, layer 6b;116;general;general
122;255;174;111;Superior olivary complex, periolivary region;117;general;general
123;255;174;111;Koelliker-Fuse subnucleus;118;general;general
124;204;204;204;interventricular foramen;119;fibrous;fibrous
125;204;204;204;optic tract;120;fibrous;fibrous
126;255;85;71;Periventricular hypothalamic nucleus, posterior part;121;general;general
127;255;144;159;Anteromedial nucleus;122;general;general
128;255;144;255;Midbrain reticular nucleus;123;general;general
129;170;170;170;third ventricle;124;fibrous;fibrous
130;255;195;149;Superior central nucleus raphe, medial part;125;general;general
131;144;235;141;Lateral amygdalar nucleus;126;general;general
132;47;168;80;Prelimbic area, layer 6b;127;general;general
133;255;85;71;Periventricular hypothalamic nucleus, preoptic part;128;general;general
134;204;204;204;pallidotegmental fascicle;129;fibrous;fibrous
135;255;179;217;Nucleus ambiguus;130;general;general
136;255;179;217;Intermediate reticular nucleus;131;general;general
137;255;195;149;Superior central nucleus raphe, lateral part;132;general;general
138;255;144;159;Lateral group of the dorsal thalamus;133;general;general
139;50;184;37;Entorhinal area, lateral part, layer 5;134;general;general
140;170;170;170;cerebral aqueduct;135;fibrous;fibrous
141;255;85;71;Periventricular region;136;general;general
142;204;204;204;pallidothalamic pathway;137;fibrous;fibrous
143;255;179;217;Nucleus ambiguus, ventral division;138;general;general
144;128;205;248;Olfactory tubercle, layers 1-3;139;heavily;heavily
145;170;170;170;fourth ventricle;140;fibrous;fibrous
146;255;195;149;Pontine reticular nucleus;141;general;general
147;255;195;149;Locus ceruleus;142;general;general
148;0;156;117;Gustatory areas, layer 4;143;general;general
149;255;144;159;Paraventricular nucleus of the thalamus;144;general;general
150;204;204;204;periventricular bundle of the hypothalamus;145;fibrous;fibrous
151;157;240;210;Accessory olfactory bulb;146;general;general
152;106;203;186;Piriform area, layers 1-3;147;general;general
153;204;204;204;lateral recess;148;fibrous;fibrous
154;255;179;217;Perihypoglossal nuclei;149;general;general
155;255;144;159;Lateral dorsal nucleus of thalamus;150;general;general
156;1;147;153;Dorsal auditory area, layer 6a;151;general;general
157;255;93;80;Periventricular zone;152;general;general
158;204;204;204;posterior commissure;153;fibrous;fibrous
159;84;191;148;Anterior olfactory nucleus;154;general;general
160;84;191;148;Anterior olfactory nucleus, layer 1;155;general;general
161;255;179;217;Nucleus intercalatus;156;general;general
162;255;195;149;Laterodorsal tegmental nucleus;157;general;general
163;33;152;102;Agranular insular area, posterior part, layer 2/3;158;general;general
164;170;170;170;central canal, spinal cord/medulla;159;fibrous;fibrous
165;255;166;255;Midbrain raphe nuclei;160;general;heavily
166;204;204;204;premammillary commissure;161;fibrous;fibrous
167;84;191;148;Anterior olfactory nucleus, dorsal part;162;general;general
168;84;191;148;Anterior olfactory nucleus, layer 2;163;general;general
169;255;179;217;Nucleus prepositus;164;general;general
170;255;128;132;Dorsal part of the lateral geniculate complex;165;general;general
171;47;168;80;Prelimbic area, layer 1;166;general;general
173;242;72;59;Retrochiasmatic area;167;general;general
174;204;204;204;preoptic commissure;168;fibrous;fibrous
175;84;191;148;Anterior olfactory nucleus, external part;169;general;general
177;255;179;217;Nucleus of Roller;170;general;general
178;255;144;159;Ventral part of the lateral geniculate complex;171;general;general
179;64;166;102;Anterior cingulate area, layer 6a;172;general;general
180;0;156;117;Gustatory areas, layer 2/3;173;general;general
181;255;144;159;Nucleus of reuniens;174;general;general
182;204;204;204;propriohypothalamic pathways;175;fibrous;fibrous
183;84;191;148;Anterior olfactory nucleus, lateral part;176;general;general
184;38;143;69;Frontal pole, cerebral cortex;177;general;general
185;255;179;217;Parapyramidal nucleus, deep part;178;general;general
186;255;144;159;Lateral habenula;179;general;general
187;0;156;117;Gustatory areas, layer 5;180;general;general
188;157;240;210;Accessory olfactory bulb, glomerular layer;181;general;general
189;255;144;159;Rhomboid nucleus;182;general;general
190;204;204;204;pyramid;183;fibrous;fibrous
191;84;191;148;Anterior olfactory nucleus, medial part;184;general;general
192;97;231;183;Cortical amygdalar area, anterior part, layer 1;185;general;general
193;255;179;217;Parapyramidal nucleus, superficial part;186;general;general
194;242;72;59;Lateral hypothalamic area;187;fibrous;fibrous
195;47;168;80;Prelimbic area, layer 2;188;general;general
196;149;228;200;Accessory olfactory bulb, granular layer;189;general;general
197;255;166;255;Rostral linear nucleus raphe;190;general;heavily
198;204;204;204;pyramidal decussation;191;fibrous;fibrous
199;84;191;148;Anterior olfactory nucleus, posteroventral part;192;general;general
200;97;231;183;Cortical amygdalar area, anterior part, layer 2;193;general;general
201;24;128;100;Primary somatosensory area, barrel field, layer 2/3;194;general;general
202;255;179;217;Medial vestibular nucleus;195;general;general
203;255;179;217;Linear nucleus of the medulla;196;general;general
204;157;240;210;Accessory olfactory bulb, mitral layer;197;general;general
205;204;204;204;retriculospinal tract, lateral part;198;fibrous;fibrous
206;255;198;226;Nucleus raphe magnus;199;general;general
207;255;165;210;Area postrema;200;general;general
208;97;231;183;Cortical amygdalar area, anterior part, layer 3;201;general;general
209;255;179;217;Lateral vestibular nucleus;202;general;general
210;255;76;62;Lateral mammillary nucleus;203;general;general
211;64;166;102;Anterior cingulate area, dorsal part, layer 2/3;204;general;general
212;130;199;174;Main olfactory bulb, glomerular layer;205;heavily;fibrous
213;204;204;204;retriculospinal tract, medial part;206;fibrous;fibrous
214;255;144;255;Red nucleus;207;general;general
215;255;144;255;Anterior pretectal nucleus;208;general;general
216;97;231;183;Cortical amygdalar area, posterior part, lateral zone, layer 1;209;general;general
217;255;179;217;Superior vestibular nucleus;210;general;general
218;255;144;159;Lateral posterior nucleus of the thalamus;211;general;general
219;31;157;90;Somatomotor areas, Layer 2/3;212;general;general
220;130;199;174;Main olfactory bulb, granule layer;213;heavily;fibrous
221;204;204;204;rubroreticular tract;214;fibrous;fibrous
222;255;198;226;Nucleus raphe obscurus;215;general;general
223;255;93;80;Arcuate hypothalamic nucleus;216;general;general
224;97;231;183;Cortical amygdalar area, posterior part, lateral zone, layer 2;217;general;general
225;255;179;217;Spinal vestibular nucleus;218;general;general
226;242;72;59;Lateral preoptic area;219;fibrous;fibrous
227;64;166;102;Anterior cingulate area, layer 6b;220;general;general
228;154;210;189;Main olfactory bulb, inner plexiform layer;221;heavily;fibrous
229;204;204;204;sensory root of the trigeminal nerve;222;fibrous;fibrous
230;255;198;226;Nucleus raphe pallidus;223;general;general
231;255;144;255;Anterior tegmental nucleus;224;general;general
232;97;231;183;Cortical amygdalar area, posterior part, lateral zone, layer 3;225;general;general
233;8;133;140;Anterolateral visual area, layer 5;226;general;general
234;21;176;179;Temporal association areas, layer 4;227;general;general
235;255;179;217;Lateral reticular nucleus;228;general;general
236;130;199;174;Main olfactory bulb, mitral layer;229;heavily;fibrous
237;204;204;204;solitary tract;230;fibrous;fibrous
238;255;195;149;Nucleus raphe pontis;231;general;general
239;255;144;159;Anterior group of the dorsal thalamus;232;general;general
240;97;231;183;Cortical amygdalar area, posterior part, medial zone, layer 1;233;general;general
241;0;159;172;Posterior parietal association areas, layer 2/3;234;general;general
242;144;203;237;Lateral septal nucleus;235;general;general
243;1;147;153;Dorsal auditory area, layer 6b;236;general;general
244;154;210;189;Main olfactory bulb, outer plexiform layer;237;heavily;fibrous
245;204;204;204;spinocervical tract;238;fibrous;fibrous
246;255;144;255;Midbrain reticular nucleus, retrorubral area;239;fibrous;general
247;1;147;153;Auditory areas;240;general;general
248;97;231;183;Cortical amygdalar area, posterior part, medial zone, layer 2;241;general;general
249;1;147;153;Posterior auditory area, layer 6a;242;general;general
250;144;203;237;Lateral septal nucleus, caudal (caudodorsal) part;243;general;general
251;1;147;153;Primary auditory area, layer 2/3;244;general;general
252;1;147;153;Dorsal auditory area, layer 5;245;general;general
253;204;204;204;spinohypothalamic pathway;246;fibrous;fibrous
254;26;166;152;Retrosplenial area;247;general;general
255;255;144;159;Anteroventral nucleus of thalamus;248;general;general
256;97;231;183;Cortical amygdalar area, posterior part, medial zone, layer 3;249;general;general
257;8;133;140;posteromedial visual area, layer 6a;250;general;general
258;144;203;237;Lateral septal nucleus, rostral (rostroventral) part;251;general;general
259;50;184;37;Entorhinal area, medial part, ventral zone, layer 1;252;general;general
260;149;228;200;Nucleus of the lateral olfactory tract, molecular layer;253;general;general
261;204;204;204;spino-olivary pathway;254;fibrous;fibrous
262;255;144;159;Reticular nucleus of the thalamus;255;general;general
263;255;85;71;Anteroventral preoptic nucleus;256;general;general
264;36;138;94;Orbital area, layer 1;257;general;general
266;144;203;237;Lateral septal nucleus, ventral part;258;general;general
267;164;218;164;Dorsal peduncular area, layer 6a;259;general;general
268;149;228;200;Nucleus of the lateral olfactory tract, pyramidal layer;260;general;general
269;8;133;140;Posterolateral visual area, layer 2/3;261;general;general
270;204;204;204;spinoreticular pathway;262;fibrous;fibrous
271;255;122;255;Nucleus sagulum;263;general;general
272;255;85;71;Anteroventral periventricular nucleus;264;general;general
274;26;166;152;Retrosplenial area, dorsal part, layer 6a;265;general;general
275;144;203;237;Lateral septal complex;266;general;general
276;106;203;186;Piriform area, molecular layer;267;general;general
277;204;204;204;spinotectal pathway;268;fibrous;fibrous
278;128;192;226;Striatum-like amygdalar nuclei;269;general;general
279;26;166;152;Retrosplenial area, lateral agranular part, layer 6b;270;general;general
280;255;186;134;Barrington's nucleus;271;general;general
281;8;133;140;Anteromedial visual area, layer 1;272;general;general
283;255;186;134;Lateral tegmental nucleus;273;general;general
284;106;203;186;Piriform area, pyramidal layer;274;general;general
285;204;204;204;spinotelenchephalic pathway;275;fibrous;fibrous
286;255;85;71;Suprachiasmatic nucleus;276;general;general
287;179;192;223;Bed nucleus of the anterior commissure;277;general;general
288;36;138;94;Orbital area, ventrolateral part, layer 2/3;278;general;general
289;21;176;179;Temporal association areas, layer 5;279;general;general
290;242;72;59;Hypothalamic lateral zone;280;general;general
291;106;203;186;Piriform area, polymorph layer;281;general;general
292;128;192;226;Bed nucleus of the accessory olfactory tract;282;general;general
293;204;204;204;spinovestibular pathway;283;fibrous;fibrous
294;255;144;255;Superior colliculus, motor related;284;general;general
295;157;231;156;Basolateral amygdalar nucleus;285;general;general
296;64;166;102;Anterior cingulate area, ventral part, layer 2/3;286;general;general
297;98;208;159;Taenia tecta, dorsal part, layers 1-4;287;general;general
298;162;177;216;Magnocellular nucleus;288;general;general
299;31;157;90;Somatomotor areas, Layer 5;289;general;general
300;255;144;159;Ventral part of the lateral geniculate complex, lateral zone;290;general;general
301;204;204;204;stria terminalis;291;fibrous;fibrous
302;255;122;255;Superior colliculus, sensory related;292;general;general
303;157;231;156;Basolateral amygdalar nucleus, anterior part;293;general;general
304;47;168;80;Prelimbic area, layer 2/3;294;general;general
305;8;133;140;Primary visual area, layer 6b;295;general;general
306;98;208;159;Taenia tecta, ventral part, layers 1-3;296;general;general
307;255;179;217;Magnocellular reticular nucleus;297;general;general
308;0;159;172;Posterior parietal association areas, layer 6a;298;general;general
309;204;204;204;striatonigral pathway;299;fibrous;fibrous
310;144;203;237;Septofimbrial nucleus;300;general;general
311;157;231;156;Basolateral amygdalar nucleus, posterior part;301;general;general
312;50;184;37;Entorhinal area, lateral part, layer 4/5;302;general;general
313;255;100;255;Midbrain;303;general;general
314;33;152;102;Agranular insular area, posterior part, layer 6a;304;general;general
315;112;255;113;Isocortex;305;general;general
316;255;144;159;Ventral part of the lateral geniculate complex, medial zone;306;general;general
317;204;204;204;subthalamic fascicle;307;fibrous;fibrous
318;255;186;134;Supragenual nucleus;308;general;general
319;132;234;129;Basomedial amygdalar nucleus;309;general;general
320;31;157;90;Primary motor area, Layer 1;310;general;general
321;255;144;159;Subgeniculate nucleus;311;general;general
322;24;128;100;Primary somatosensory area;312;general;general
323;255;144;255;Midbrain, motor related;313;general;general
324;50;184;37;Entorhinal area, medial part, ventral zone, layer 2;314;general;general
325;255;144;159;Suprageniculate nucleus;315;general;general
326;204;204;204;superior cerebelar peduncles;316;fibrous;fibrous
327;132;234;129;Basomedial amygdalar nucleus, anterior part;317;general;general
328;33;152;102;Agranular insular area, dorsal part, layer 2/3;318;general;general
329;24;128;100;Primary somatosensory area, barrel field;319;general;general
330;26;166;152;Retrosplenial area, dorsal part, layer 6b;320;general;general
331;255;76;62;Mammillary body;321;general;general
332;255;93;80;Accessory supraoptic group;322;general;general
333;144;203;237;Septohippocampal nucleus;323;general;general
334;132;234;129;Basomedial amygdalar nucleus, posterior part;324;general;general
335;14;150;132;Perirhinal area, layer 6a;325;general;general
336;204;204;204;superior colliculus commissure;326;fibrous;fibrous
337;24;128;100;Primary somatosensory area, lower limb;327;general;general
338;255;85;71;Subfornical organ;328;general;general
339;255;122;255;Midbrain, sensory related;329;general;general
340;0;159;172;Posterior parietal association areas, layer 6b;330;general;general
341;204;204;204;supramammillary decussation;331;fibrous;fibrous
342;162;177;216;Substantia innominata;332;fibrous;fibrous
343;255;112;128;Brain stem;333;general;general
344;33;152;102;Agranular insular area, posterior part, layer 5;334;general;general
345;24;128;100;Primary somatosensory area, mouth;335;general;general
346;24;128;100;Primary somatosensory area, layer 2/3;336;general;general
347;255;85;71;Subparaventricular zone;337;general;general
348;255;144;255;Midbrain, behavioral state related;338;general;general
349;204;204;204;supraoptic commissures;339;fibrous;fibrous
350;255;195;149;Subceruleus nucleus;340;general;general
351;179;192;223;Bed nuclei of the stria terminalis;341;general;general
352;36;138;94;Orbital area, layer 5;342;general;general
353;24;128;100;Primary somatosensory area, nose;343;general;general
354;255;155;205;Medulla;344;general;general
355;33;152;102;Agranular insular area, posterior part, layer 6b;345;general;general
356;242;72;59;Preparasubthalamic nucleus;346;general;general
357;204;204;204;tectothalamic pathway;347;fibrous;fibrous
358;255;195;149;Sublaterodorsal nucleus;348;general;general
359;179;192;223;Bed nuclei of the stria terminalis, anterior division;349;general;general
360;164;218;164;Dorsal peduncular area, layer 2/3;350;general;general
361;24;128;100;Primary somatosensory area, trunk;351;general;general
362;255;144;159;Mediodorsal nucleus of thalamus;352;general;general
363;47;168;80;Prelimbic area, layer 5;353;general;general
364;242;72;59;Parasubthalamic nucleus;354;fibrous;general
365;204;204;204;thalamic peduncles;355;fibrous;fibrous
366;255;144;159;Submedial nucleus of the thalamus;356;general;general
367;179;192;223;Bed nuclei of the stria terminalis, posterior division;357;general;general
368;14;150;132;Perirhinal area, layer 6b;358;general;general
369;24;128;100;Primary somatosensory area, upper limb;359;general;general
370;255;179;217;Medulla, motor related;360;general;general
371;50;184;37;Entorhinal area, medial part, ventral zone, layer 3;361;general;general
372;255;179;217;Infracerebellar nucleus;362;general;general
373;204;204;204;trigeminocerebellar tract;363;fibrous;fibrous
374;255;166;255;Substantia nigra, compact part;364;fibrous;general
375;126;208;75;Ammon's horn;365;general;general
376;97;231;183;Cortical amygdalar area, posterior part, lateral zone, layers 1-3;366;general;general
377;8;133;140;Posterolateral visual area, layer 6a;367;general;general
378;24;128;100;Supplemental somatosensory area;368;general;general
379;255;198;226;Medulla, behavioral state related;369;general;general
380;204;204;204;cuneate fascicle;370;fibrous;fibrous
381;255;144;255;Substantia nigra, reticular part;371;fibrous;general
382;126;208;75;Field CA1;372;general;general
383;97;231;183;Cortical amygdalar area, posterior part, medial zone, layers 1-3;373;general;general
384;204;204;204;trochlear nerve decussation;374;fibrous;fibrous
385;8;133;140;Primary visual area;375;general;general
386;255;105;30;Medulla, sensory related;376;general;general
387;50;184;37;Entorhinal area, lateral part, layer 5/6;377;general;general
388;204;204;204;gracile fascicle;378;fibrous;fibrous
389;204;204;204;ventral spinothalamic tract;379;fibrous;fibrous
390;255;93;80;Supraoptic nucleus;380;general;general
391;126;208;75;Field CA1, stratum lacunosum-moleculare;381;general;general
392;149;228;200;Nucleus of the lateral olfactory tract, layers 1-3;382;general;general
393;8;133;140;Posterolateral visual area, layer 6b;383;general;general
394;8;133;140;Anteromedial visual area;384;general;general
395;255;179;217;Medullary reticular nucleus;385;general;general
396;204;204;204;internal arcuate fibers;386;fibrous;fibrous
397;204;204;204;ventral tegmental decussation;387;fibrous;fibrous
398;255;174;111;Superior olivary complex;388;general;general
399;126;208;75;Field CA1, stratum oriens;389;general;general
400;89;218;171;Piriform-amygdalar area, layers 1-3;390;general;general
401;8;133;140;Anteromedial visual area, layer 4;391;general;general
402;8;133;140;Anterolateral visual area;392;general;general
403;128;192;226;Medial amygdalar nucleus;393;general;general
404;204;204;204;olivocerebellar tract;394;fibrous;fibrous
405;204;204;204;ventrolateral hypothalamic tract;395;fibrous;fibrous
406;255;128;132;Subparafascicular nucleus;396;general;general
407;102;168;61;Field CA1, pyramidal layer;397;general;general
408;89;218;171;Piriform-amygdalar area, molecular layer;398;general;general
409;8;133;140;Lateral visual area;399;general;general
410;204;204;204;reticulocerebellar tract;400;fibrous;fibrous
411;128;192;226;Medial amygdalar nucleus, anterodorsal part;401;general;general
412;36;138;94;Orbital area, lateral part, layer 2/3;402;general;general
413;204;204;204;vestibular nerve;403;fibrous;fibrous
414;255;128;132;Subparafascicular nucleus, magnocellular part;404;general;general
415;126;208;75;Field CA1, stratum radiatum;405;general;general
416;89;218;171;Piriform-amygdalar area, pyramidal layer;406;general;general
418;128;192;226;Medial amygdalar nucleus, anteroventral part;407;general;general
419;50;184;37;Entorhinal area, medial part, ventral zone, layer 4;408;general;general
420;204;204;204;precommissural fornix diagonal band;409;fibrous;fibrous
421;8;133;140;Lateral visual area, layer 1;410;general;general
422;255;128;132;Subparafascicular nucleus, parvicellular part;411;general;general
423;126;208;75;Field CA2;412;general;general
424;89;218;171;Piriform-amygdalar area, polymorph layer;413;general;general
425;8;133;140;Posterolateral visual area;414;general;general
426;128;192;226;Medial amygdalar nucleus, posterodorsal part;415;general;general
427;13;159;145;Ectorhinal area/Layer 2/3;416;general;general
428;204;204;204;medial corticohypothalamic tract;417;fibrous;fibrous
429;255;165;210;Spinal nucleus of the trigeminal, caudal part;418;general;general
430;26;166;152;Retrosplenial area, ventral part, layer 2/3;419;general;general
431;126;208;75;Field CA2, stratum lacunosum-moleculare;420;general;general
432;255;93;80;Nucleus circularis;421;general;general
433;8;133;140;Anteromedial visual area, layer 5;422;general;general
434;26;166;152;Retrosplenial area, dorsal part, layer 2/3;423;general;general
435;128;192;226;Medial amygdalar nucleus, posteroventral part;424;general;general
436;204;204;204;columns of the fornix;425;fibrous;fibrous
437;255;165;210;Spinal nucleus of the trigeminal, interpolar part;426;general;general
438;126;208;75;Field CA2, stratum oriens;427;general;general
439;255;93;80;Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part;428;general;general
440;36;138;94;Orbital area, lateral part, layer 6a;429;general;general
441;8;133;140;Anteromedial visual area, layer 6b;430;general;general
442;26;166;152;Retrosplenial area, dorsal part, layer 1;431;general;general
443;204;204;204;dorsal hippocampal commissure;432;fibrous;fibrous
444;255;144;159;Medial group of the dorsal thalamus;433;general;general
445;255;165;210;Spinal nucleus of the trigeminal, oral part;434;general;general
446;102;168;61;Field CA2, pyramidal layer;435;general;general
447;255;93;80;Paraventricular hypothalamic nucleus, descending division, forniceal part;436;general;general
448;36;138;94;Orbital area, lateral part, layer 1;437;general;general
449;204;204;204;ventral hippocampal commissure;438;fibrous;fibrous
450;24;128;100;Primary somatosensory area, upper limb, layer 1;439;general;general
451;157;231;156;Basolateral amygdalar nucleus, ventral part;440;general;general
452;255;85;71;Median preoptic nucleus;441;general;general
453;24;128;100;Somatosensory areas;442;general;general
454;126;208;75;Field CA2, stratum radiatum;443;general;general
455;255;93;80;Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part;444;general;general
456;1;147;153;Posterior auditory area, layer 6b;445;general;general
457;8;133;140;Visual areas, layer 6a;446;general;general
458;128;205;248;Olfactory tubercle, molecular layer;447;heavily;heavily
459;204;204;204;accessory olfactory tract;448;fibrous;fibrous
460;255;122;255;Midbrain trigeminal nucleus;449;general;general
461;24;128;100;Primary somatosensory area, trunk, layer 6b;450;general;general
462;255;186;134;Superior salivatory nucleus;451;general;general
463;126;208;75;Field CA3;452;general;general
464;255;93;80;Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone;453;general;general
465;128;205;248;Olfactory tubercle, pyramidal layer;454;heavily;heavily
466;204;204;204;alveus;455;fibrous;fibrous
467;255;76;62;Hypothalamic medial zone;456;general;general
468;50;184;37;Entorhinal area, medial part, dorsal zone, layer 2a;457;general;general
469;8;133;140;posteromedial visual area, layer 6b;458;general;general
470;242;72;59;Subthalamic nucleus;459;general;general
471;126;208;75;Field CA3, stratum lacunosum-moleculare;460;general;general
